2026-03-24 19:39:13,Zone 1,1,0,1
2026-03-24 19:39:16,Zone 1,2,0,2
2026-03-24 19:39:18,Zone 1,3,0,3
2026-03-24 19:39:18,Zone 1,3,1,2
2026-03-24 19:39:19,Zone 1,4,1,3
2026-03-24 19:39:19,Zone 1,5,1,4
2026-03-24 19:39:20,Zone 1,6,1,5
2026-03-24 19:39:20,Zone 1,7,1,6
2026-03-24 19:39:21,Zone 1,8,1,7
2026-03-24 19:39:24,Zone 1,9,1,8
2026-03-24 19:39:25,Zone 1,10,1,9
2026-03-24 19:39:40,Zone 1,11,1,10
2026-03-24 19:39:41,Zone 2,1,0,1
2026-03-24 19:39:51,Zone 1,11,2,9
2026-03-24 19:39:52,Zone 1,12,2,10
2026-03-24 19:39:52,Zone 1,12,3,9
2026-03-24 19:40:02,Zone 1,13,3,10
2026-03-24 19:40:03,Zone 1,13,4,9
2026-03-24 19:40:03,Zone 1,14,4,10
2026-03-24 19:40:03,Zone 1,15,4,11
2026-03-24 19:40:04,Zone 1,16,4,12
2026-03-24 19:40:07,Zone 1,17,4,13
2026-03-24 19:40:08,Zone 1,17,5,12
2026-03-24 19:40:08,Zone 1,18,5,13
2026-03-24 19:40:20,Zone 1,19,5,14
2026-03-24 19:40:20,Zone 1,19,6,13
2026-03-24 19:40:21,Zone 1,20,6,14
2026-03-24 19:40:37,Zone 1,20,7,13
2026-03-24 19:40:37,Zone 1,21,7,14
2026-03-24 19:40:38,Zone 1,21,8,13
2026-03-24 19:40:47,Zone 1,22,8,14
2026-03-24 19:40:47,Zone 1,23,8,15
2026-03-24 19:40:57,Zone 1,23,9,14
